id;title;content;date;main_image;main_image_content_type;document;document_content_type
1;teriyaki fully ha;../fake-data/blob/hipster.txt;2024-01-07T06:32:56;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;geez zowie anenst;../fake-data/blob/hipster.txt;2024-01-07T17:14:23;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;cabbage;../fake-data/blob/hipster.txt;2024-01-07T05:49:30;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;connect;../fake-data/blob/hipster.txt;2024-01-07T21:26:19;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;yowza blah;../fake-data/blob/hipster.txt;2024-01-06T22:48:11;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;oof;../fake-data/blob/hipster.txt;2024-01-07T06:13:20;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;yuck geez terribly;../fake-data/blob/hipster.txt;2024-01-07T20:00:06;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;by;../fake-data/blob/hipster.txt;2024-01-07T04:43:00;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;aha abduct clamor;../fake-data/blob/hipster.txt;2024-01-07T08:28:25;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;revolver;../fake-data/blob/hipster.txt;2024-01-07T15:03:18;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
